YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,NumberOfWindows,Geo_Code,Claim,Building_Age
2013,1.0,0,0,1,0.0,0,516.0,2,5.0,13207,0,113.0
2015,1.0,0,1,0,1.0,1,1600.0,2,,13207,0,55.0
2013,0.0,0,0,0,1.0,1,450.0,2,,13207,1,
2015,0.0,0,0,0,1.0,1,450.0,2,,13207,0,
2014,1.0,0,1,0,1.0,1,1750.0,2,,13207,0,54.0
2013,1.0,0,1,0,1.0,1,320.0,2,,13207,0,53.0
2013,1.0,0,1,0,1.0,1,4700.0,2,,13207,0,25.0
2015,1.0,0,1,0,1.0,1,480.0,2,,13207,0,55.0
2013,1.0,0,0,0,1.0,1,820.0,2,,13207,0,53.0
2012,1.0,0,1,0,1.0,1,100.0,2,,13207,0,52.0
2014,1.0,0,1,0,1.0,1,100.0,2,,13207,0,54.0
2015,1.0,0,1,0,1.0,1,1500.0,2,,13207,0,55.0
2014,1.0,0,1,0,1.0,1,660.0,2,,13207,0,54.0
2012,1.0,0,1,0,1.0,1,450.0,2,,13207,0,52.0
2012,1.0,0,1,0,1.0,1,550.0,2,,13207,0,52.0
2012,1.0,0,0,0,1.0,1,570.0,2,,13207,0,52.0
2016,1.0,1,0,0,1.0,1,1600.0,2,,13207,0,56.0
2015,1.0,1,1,0,1.0,1,401.0,2,,13207,0,
2016,0.393442623,1,1,0,1.0,1,401.0,2,,13207,0,
2016,0.475409836,1,1,0,1.0,1,700.0,2,,13207,0,56.0
2012,1.0,1,1,0,1.0,1,2000.0,2,,13207,0,32.0
2013,0.328767123,1,1,0,1.0,1,2000.0,2,,13207,0,33.0
2015,1.0,0,1,0,1.0,1,900.0,2,,13207,0,55.0
2014,1.0,0,0,1,0.0,0,2100.0,2,8.0,13207,1,114.0
2015,1.0,0,0,1,0.0,0,2100.0,2,8.0,13207,1,115.0
2016,0.99726776,0,0,1,0.0,0,2100.0,2,8.0,13207,0,116.0
2012,1.0,1,0,0,1.0,1,880.0,2,,13207,0,52.0
2016,1.0,1,1,0,1.0,1,800.0,2,,13207,0,56.0
2012,1.0,0,0,1,0.0,0,3880.0,2,6.0,13208,1,6.0
2012,1.0,0,1,0,1.0,1,360.0,2,,13208,0,52.0
2013,1.0,0,1,0,1.0,1,360.0,2,,13208,0,53.0
2015,1.0,0,1,0,1.0,1,1050.0,2,,13208,1,55.0
2016,0.99726776,0,1,0,1.0,1,1050.0,2,,13208,0,56.0
2012,1.0,0,1,0,1.0,1,300.0,2,,13208,1,52.0
2014,1.0,0,1,0,1.0,1,3900.0,2,,13208,0,54.0
2013,1.0,0,1,1,0.0,0,4350.0,2,9.0,13208,0,53.0
2012,1.0,0,0,1,0.0,0,3283.0,2,5.0,13208,0,32.0
2014,1.0,0,0,1,0.0,0,1200.0,2,4.0,13208,1,94.0
2016,1.0,0,0,1,0.0,0,4100.0,2,,13208,0,46.0
2015,1.0,0,0,1,0.0,0,380.0,2,4.0,13208,0,55.0
2012,1.0,1,1,0,1.0,1,510.0,2,,13208,0,52.0
2012,1.0,0,0,1,0.0,0,9000.0,2,,13208,0,2.0
2012,1.0,0,0,1,0.0,0,3550.0,2,5.0,13208,0,11.0
2013,1.0,0,0,1,0.0,0,1100.0,2,4.0,13208,0,83.0
2013,1.0,0,0,1,0.0,0,1320.0,2,8.0,13208,0,63.0
2013,0.465753425,0,0,1,0.0,0,2500.0,2,,13208,0,53.0
2014,0.794520548,0,0,1,0.0,0,2600.0,2,4.0,13208,1,54.0
2014,1.0,0,0,1,0.0,0,3100.0,2,4.0,13208,0,84.0
2015,0.0,0,0,0,1.0,1,870.0,2,,13208,0,
2014,0.0,0,0,0,1.0,1,380.0,2,,13208,0,
2014,0.084931507,1,0,1,0.0,0,3300.0,2,9.0,13208,0,114.0
2012,1.0,1,1,0,1.0,1,150.0,2,,13208,0,
2012,1.0,0,0,0,1.0,1,2400.0,2,,13208,1,52.0
2015,1.0,0,1,0,1.0,1,3281.0,2,,13208,1,55.0
2012,1.0,0,1,0,1.0,1,6468.0,2,,13208,0,32.0
2015,0.328767123,0,1,0,1.0,1,6468.0,2,,13208,0,35.0
2012,1.0,0,0,0,1.0,1,1070.0,2,,13208,0,32.0
2013,1.0,0,0,0,1.0,1,1070.0,2,,13208,1,33.0
2014,1.0,0,1,0,1.0,1,6800.0,2,,13208,0,54.0
2013,0.747945205,1,0,0,1.0,1,2000.0,2,,13208,1,53.0
2012,1.0,0,1,0,1.0,1,1000.0,2,,13208,0,52.0
2016,0.99726776,0,1,0,1.0,1,710.0,2,,13208,0,56.0
2013,1.0,1,1,0,1.0,1,1500.0,2,,13208,0,
2014,1.0,1,1,0,1.0,1,1700.0,2,,13208,0,54.0
2015,1.0,0,1,0,1.0,1,2025.0,2,,13209,0,55.0
2013,1.0,0,1,0,1.0,1,6657.0,2,,13209,1,25.0
2013,1.0,0,1,0,1.0,1,3000.0,2,,13209,0,33.0
2014,1.0,0,0,1,0.0,0,824.0,2,3.0,13209,0,64.0
2013,0.224657534,0,1,0,1.0,1,370.0,2,,13209,0,53.0
2014,1.0,0,1,0,1.0,1,1793.0,2,,13209,0,54.0
2016,1.0,0,1,0,1.0,1,150.0,2,,13209,0,56.0
2012,1.0,0,0,1,0.0,0,2255.0,2,,13209,0,52.0
2014,0.731506849,0,0,1,0.0,0,1765.0,2,6.0,13209,1,44.0
2012,1.0,0,1,0,1.0,1,1980.0,2,,13209,0,52.0
2013,1.0,0,1,0,1.0,1,2270.0,2,,13209,0,53.0
2015,1.0,0,1,0,1.0,1,2270.0,2,,13209,1,55.0
2016,1.0,0,1,0,1.0,1,2270.0,2,,13209,0,56.0
2012,0.191256831,0,0,0,1.0,1,4914.0,2,,13209,0,32.0
2015,1.0,0,0,1,0.0,0,2724.0,2,5.0,13209,0,55.0
2014,1.0,0,0,1,0.0,0,12500.0,2,4.0,13209,1,44.0
2013,1.0,0,0,1,0.0,0,7259.0,2,8.0,13209,0,4.0
2014,1.0,0,0,1,0.0,0,7259.0,2,8.0,13209,1,5.0
2016,1.0,1,0,1,0.0,0,600.0,2,2.0,13209,0,46.0
2012,1.0,0,0,1,0.0,0,85.0,2,1.0,13209,0,62.0
2015,1.0,0,0,1,0.0,0,9122.0,2,6.0,13209,1,16.0
2014,1.0,0,0,1,0.0,0,2300.0,2,5.0,13209,0,44.0
2016,1.0,0,0,1,0.0,0,1900.0,2,,13209,0,56.0
2014,0.0,0,0,0,1.0,1,600.0,2,,13209,0,34.0
2013,1.0,0,0,0,1.0,1,1222.0,2,,13209,0,53.0
2012,1.0,0,0,0,1.0,1,6766.0,2,,13209,1,52.0
2016,0.99726776,0,1,0,1.0,1,2530.0,2,,13209,0,56.0
2014,1.0,0,0,0,1.0,1,1230.0,2,,13209,0,54.0
2016,0.99726776,0,1,0,1.0,1,1300.0,2,,13209,0,56.0
2014,1.0,0,0,1,0.0,0,5873.0,2,,13209,1,44.0
2015,1.0,0,0,1,0.0,0,5873.0,2,,13209,1,45.0
2014,1.0,0,1,0,1.0,1,1920.0,2,,13209,0,54.0
2016,0.99726776,0,1,0,1.0,1,1880.0,2,,13209,0,56.0
2014,1.0,0,1,0,1.0,1,2255.0,2,,13209,0,54.0
2015,1.0,0,1,0,1.0,1,2255.0,2,,13209,0,55.0
2014,1.0,0,1,0,1.0,1,1182.0,2,,13209,0,54.0
2016,1.0,0,1,0,1.0,1,1182.0,2,,13209,0,56.0
2014,1.0,0,1,0,1.0,1,4080.0,2,,13209,1,26.0
2015,1.0,0,0,1,0.0,0,3600.0,2,2.0,13210,0,45.0
2014,0.747945205,1,1,0,1.0,1,490.0,2,,13210,0,54.0
2012,0.467213115,1,1,0,1.0,1,100.0,2,,13210,0,32.0
2013,1.0,0,1,0,1.0,1,6100.0,2,,13210,0,33.0
2015,0.493150685,0,0,1,0.0,0,1500.0,2,,13210,0,5.0
2015,1.0,0,0,1,0.0,0,4500.0,2,6.0,13210,0,55.0
2013,1.0,0,0,1,0.0,0,430.0,2,3.0,13210,0,53.0
2014,1.0,1,0,1,0.0,0,380.0,2,3.0,13210,0,104.0
2012,1.0,0,0,1,0.0,0,4914.0,2,5.0,13210,1,52.0
2016,1.0,0,0,1,0.0,0,4914.0,2,5.0,13210,1,56.0
2012,1.0,0,0,1,0.0,0,8485.0,2,7.0,13210,0,1.0
2014,1.0,0,0,1,0.0,0,8485.0,2,7.0,13210,1,3.0
2016,0.99726776,0,0,1,0.0,0,8485.0,2,7.0,13210,1,5.0
2015,1.0,0,0,1,0.0,0,3300.0,2,5.0,13210,1,17.0
2016,1.0,0,0,1,0.0,0,600.0,2,5.0,13210,0,86.0
2013,0.0,0,0,0,1.0,1,450.0,2,,13210,0,
2016,0.994535519,0,0,0,1.0,1,400.0,2,,13210,0,56.0
2015,1.0,0,0,0,1.0,1,190.0,2,,13210,0,55.0
2016,0.245901639,0,0,0,1.0,1,190.0,2,,13210,0,56.0
2015,1.0,0,1,0,1.0,1,1000.0,2,,13211,0,55.0
2013,1.0,0,0,1,0.0,0,800.0,2,3.0,13211,0,53.0
2012,1.0,0,0,0,1.0,1,353.0,2,,13211,0,52.0
2013,1.0,0,0,1,0.0,0,900.0,2,3.0,13211,1,163.0
2015,1.0,0,0,1,0.0,0,355.0,2,2.0,13211,0,45.0
2013,1.0,0,0,1,0.0,0,522.0,2,2.0,13211,0,49.0
2015,1.0,0,0,1,0.0,0,522.0,2,2.0,13211,0,51.0
2013,1.0,0,0,1,0.0,0,541.0,2,3.0,13211,0,113.0
2015,1.0,0,0,1,0.0,0,8100.0,2,6.0,13212,1,12.0
2016,0.99726776,0,1,0,1.0,1,600.0,2,,13212,0,56.0
2012,1.0,1,0,1,0.0,0,4069.0,2,5.0,13212,1,11.0
2016,0.99726776,0,0,1,0.0,0,2250.0,2,4.0,13212,0,5.0
2013,1.0,1,0,1,0.0,0,384.0,2,3.0,13212,0,105.0
2015,1.0,0,0,0,1.0,1,456.0,2,,13212,0,35.0
2013,1.0,0,1,0,1.0,1,750.0,2,,13212,0,33.0
2013,0.978082192,0,0,0,1.0,1,323.0,2,,13212,0,53.0
2013,1.0,0,1,0,1.0,1,700.0,2,,13213,0,53.0
2014,1.0,0,1,0,1.0,1,700.0,2,,13213,0,54.0
2013,0.912328767,0,0,1,0.0,0,4870.0,2,,13213,1,65.0
2012,0.99726776,0,0,1,0.0,0,4523.0,2,5.0,13213,1,3.0
2012,1.0,0,0,1,0.0,0,4322.0,2,5.0,13213,0,1.0
2012,0.901639344,1,0,1,0.0,0,6300.0,2,5.0,13213,0,39.0
2013,1.0,1,0,1,0.0,0,6300.0,2,5.0,13213,0,40.0
2015,1.0,1,0,1,0.0,0,6300.0,2,5.0,13213,0,42.0
2012,0.546448087,1,0,1,0.0,0,6000.0,2,3.0,13213,0,0.0
2013,0.093150685,0,0,1,0.0,0,180.0,2,2.0,13213,0,153.0
2015,1.0,0,0,0,1.0,1,2126.0,2,,13213,0,55.0
2014,1.0,0,0,0,1.0,1,2600.0,2,,13213,1,54.0
2012,1.0,0,1,0,1.0,1,1891.0,2,,13213,1,32.0
2015,1.0,0,1,0,1.0,1,1891.0,2,,13213,0,35.0
2013,1.0,0,1,0,1.0,1,1891.0,2,,13213,1,33.0
2016,1.0,1,0,1,0.0,0,3500.0,2,7.0,13213,1,116.0
2013,1.0,1,0,1,0.0,0,900.0,2,3.0,13213,0,14.0
2014,1.0,0,1,0,1.0,1,7500.0,2,,13213,1,34.0
2015,1.0,0,1,0,1.0,1,7500.0,2,,13213,0,35.0
2013,1.0,0,0,1,0.0,0,320.0,2,3.0,13213,0,63.0
2013,1.0,1,0,0,1.0,1,16859.0,2,,13213,0,33.0
2013,1.0,1,0,1,0.0,0,8900.0,2,6.0,13214,0,1.0
2015,1.0,0,0,1,0.0,0,580.0,2,4.0,13214,1,65.0
2013,1.0,0,0,1,0.0,0,534.0,2,4.0,13214,0,103.0
2015,1.0,0,0,1,0.0,0,534.0,2,4.0,13214,0,105.0
2016,1.0,0,0,1,0.0,0,534.0,2,4.0,13214,0,106.0
2012,1.0,0,0,0,1.0,1,780.0,2,,13214,0,52.0
2016,0.99726776,0,1,0,1.0,1,1377.0,2,,13214,0,56.0
2013,1.0,0,1,0,1.0,1,1920.0,2,,13214,0,53.0
2016,0.99726776,0,1,0,1.0,1,1920.0,2,,13214,0,56.0
2012,1.0,0,1,0,1.0,1,1410.0,2,,13214,0,52.0
2012,1.0,1,0,1,0.0,0,8960.0,2,3.0,13215,0,3.0
2013,0.536986301,1,0,1,0.0,0,8960.0,2,3.0,13215,0,4.0
2016,0.99726776,0,0,1,0.0,0,6100.0,2,5.0,13215,0,9.0
2013,0.271232877,0,0,0,1.0,1,204.0,2,,13215,0,53.0
2012,1.0,0,0,0,1.0,1,432.0,2,,13215,1,52.0
2013,0.832876712,0,0,0,1.0,1,432.0,2,,13215,0,53.0
2012,1.0,0,0,1,0.0,0,400.0,2,3.0,13215,0,2.0
2012,1.0,0,0,1,0.0,0,330.0,2,2.0,13215,0,102.0
2016,0.99726776,0,0,1,0.0,0,1300.0,2,4.0,13215,0,56.0
2016,0.016393443,1,0,1,0.0,0,510.0,2,3.0,13215,0,66.0
2013,1.0,0,0,0,1.0,1,530.0,2,,13215,0,53.0
2015,1.0,0,0,1,0.0,0,400.0,2,4.0,13215,0,115.0
2012,1.0,0,1,0,1.0,1,250.0,2,,13215,0,32.0
2015,1.0,0,1,0,1.0,1,250.0,2,,13216,0,55.0
2013,1.0,0,1,0,1.0,1,4000.0,2,,13216,0,25.0
2012,0.431693989,0,0,1,0.0,0,300.0,2,1.0,13216,0,62.0
2013,0.915068493,0,0,1,0.0,0,300.0,2,3.0,13216,1,73.0
2015,1.0,0,0,1,0.0,0,200.0,2,2.0,13216,0,85.0
2016,0.99726776,0,0,0,1.0,1,540.0,2,,13216,0,56.0
2013,1.0,0,0,1,0.0,0,450.0,2,4.0,13216,0,113.0
2013,1.0,0,1,0,1.0,1,68.0,2,,13216,0,53.0
2015,0.983561644,0,1,0,1.0,1,68.0,2,,13216,0,55.0
2014,1.0,0,1,0,1.0,1,175.0,2,,13216,0,54.0
2014,1.0,1,1,0,1.0,1,695.0,2,,13216,0,54.0
2013,1.0,0,1,0,1.0,1,870.0,1,,13904,0,53.0
2015,1.0,0,1,0,1.0,1,870.0,1,,13904,0,55.0
2015,1.0,0,1,0,1.0,1,900.0,2,,14047,0,55.0
2014,1.0,1,0,0,1.0,1,980.0,2,,14079,0,34.0
2012,1.0,0,0,0,1.0,1,8500.0,2,,14117,0,32.0
2014,0.747945205,0,0,0,1.0,1,8500.0,2,,14117,0,34.0
2012,1.0,0,0,0,1.0,1,1750.0,2,,14117,1,
2012,1.0,0,0,0,1.0,1,185.0,2,,14118,0,32.0
2012,0.74863388,0,0,0,1.0,1,840.0,2,,14118,1,52.0
2014,1.0,0,0,0,1.0,1,290.0,2,,14118,0,34.0
2015,1.0,0,1,0,1.0,1,3930.0,2,,14118,0,55.0
2013,1.0,1,1,0,1.0,1,769.0,2,,14118,0,53.0
2016,1.0,0,0,1,0.0,0,9618.0,2,6.0,14118,1,26.0
2012,1.0,0,0,0,1.0,1,1837.0,2,,14118,0,32.0
2016,0.99726776,0,0,0,1.0,1,1837.0,2,,14118,0,36.0
2015,1.0,0,0,0,1.0,1,3806.0,2,,14118,1,55.0
2014,1.0,0,0,0,1.0,1,620.0,2,,14118,0,54.0
2014,1.0,0,0,0,1.0,1,2897.0,2,,14118,1,34.0
2016,0.99726776,0,0,0,1.0,1,2897.0,2,,14118,1,36.0
2012,1.0,0,0,0,1.0,1,2561.0,2,,14118,0,32.0
2013,1.0,0,0,0,1.0,1,2561.0,2,,14118,0,33.0
2013,1.0,0,0,0,1.0,1,1726.0,2,,14118,0,33.0
2014,1.0,0,0,0,1.0,1,1870.0,2,,14118,0,34.0
2012,1.0,0,0,0,1.0,1,1726.0,2,,14118,1,32.0
2014,1.0,0,0,0,1.0,1,1726.0,2,,14118,0,34.0
2015,1.0,0,0,0,1.0,1,200.0,2,,14118,0,35.0
2013,0.367123288,0,0,0,1.0,1,5080.0,2,,14118,0,33.0
2013,0.457534247,0,0,1,0.0,0,2100.0,2,5.0,14118,0,48.0
2013,1.0,0,0,0,1.0,1,1782.0,2,,14118,0,33.0
2016,1.0,0,0,0,1.0,1,8820.0,2,,14118,1,36.0
2012,1.0,0,0,0,1.0,1,816.0,2,,14118,0,32.0
2013,0.728767123,0,0,0,1.0,1,1995.0,2,,14118,0,53.0
2014,1.0,0,0,0,1.0,1,1795.0,2,,14118,0,34.0
2016,0.99726776,0,0,0,1.0,1,2200.0,2,,14118,1,36.0
2012,1.0,0,0,0,1.0,1,14200.0,2,,14118,0,32.0
2012,1.0,0,0,0,1.0,1,530.0,2,,14118,0,32.0
2014,1.0,0,0,0,1.0,1,530.0,2,,14118,0,34.0
2012,1.0,0,0,0,1.0,1,2000.0,2,,14118,0,32.0
2012,1.0,0,1,0,1.0,1,250.0,2,,14118,0,32.0
2013,1.0,0,0,0,1.0,1,1160.0,2,,14118,0,33.0
2013,1.0,0,0,0,1.0,1,528.0,2,,14118,0,53.0
2015,1.0,0,0,1,0.0,0,3650.0,2,5.0,14118,1,45.0
2013,1.0,0,0,0,1.0,1,1550.0,2,,14118,1,33.0
2015,1.0,0,0,0,1.0,1,1550.0,2,,14118,1,35.0
2015,1.0,0,0,0,1.0,1,1411.0,2,,14118,1,35.0
2012,1.0,0,0,0,1.0,1,4150.0,2,,14118,0,32.0
2015,1.0,0,0,0,1.0,1,850.0,2,,14118,0,55.0
2012,0.0,0,0,0,1.0,1,35.0,2,,14118,0,52.0
2014,1.0,0,0,1,0.0,0,2700.0,2,3.0,14220,1,44.0
2013,1.0,0,1,0,1.0,1,833.0,2,,14220,0,53.0
2016,0.99726776,0,1,0,1.0,1,833.0,2,,14220,0,56.0
2013,1.0,0,1,0,1.0,1,6628.0,2,,14220,1,33.0
2014,1.0,0,1,0,1.0,1,6628.0,2,,14220,1,34.0
2014,1.0,0,0,0,1.0,1,1600.0,2,,14327,0,34.0
2016,0.99726776,0,0,0,1.0,1,1600.0,2,,14327,0,36.0
2015,1.0,0,0,0,1.0,1,1920.0,2,,14327,0,35.0
2014,1.0,0,0,0,1.0,1,1660.0,2,,14327,0,34.0
2014,1.0,0,1,0,1.0,1,1981.0,2,,14327,1,34.0
2015,0.95890411,1,1,0,1.0,1,1300.0,2,,14338,0,35.0
2013,0.328767123,1,0,0,1.0,1,2100.0,2,,14338,0,33.0
2012,1.0,0,1,0,1.0,1,2079.0,2,,14341,0,24.0
2014,1.0,0,1,0,1.0,1,2079.0,2,,14341,0,26.0
2014,1.0,0,0,0,1.0,1,1972.0,2,,14341,1,34.0
2012,1.0,0,0,1,0.0,0,3400.0,2,4.0,14365,1,38.0
2013,1.0,0,0,1,0.0,0,3400.0,2,4.0,14365,0,39.0
2013,1.0,0,1,0,1.0,1,650.0,2,,14366,0,53.0
2013,0.254794521,0,0,1,0.0,0,833.0,2,4.0,14383,0,2.0
2013,1.0,0,0,0,1.0,1,1414.0,2,,14437,1,33.0
2015,1.0,0,0,0,1.0,1,1414.0,2,,14437,1,35.0
2012,1.0,0,0,0,1.0,1,300.0,2,,14437,0,52.0
2014,0.832876712,0,0,0,1.0,1,300.0,2,,14437,0,54.0
2014,1.0,0,0,0,1.0,1,1879.0,2,,14488,0,34.0
2015,1.0,0,0,0,1.0,1,1879.0,2,,14488,0,35.0
2013,0.161643836,0,0,0,1.0,1,1235.0,2,,14488,0,33.0
2014,0.495890411,0,0,1,0.0,0,3000.0,2,4.0,14488,0,34.0
2014,1.0,0,0,1,0.0,0,1330.0,2,3.0,14488,0,26.0
2012,1.0,0,0,1,0.0,0,870.0,2,4.0,14488,0,36.0
2014,1.0,0,0,0,1.0,1,1239.0,2,,14488,0,34.0
2015,1.0,0,0,0,1.0,1,1450.0,2,,14488,0,35.0
2015,1.0,0,0,0,1.0,1,1800.0,2,,14488,0,35.0
2012,1.0,0,1,0,1.0,1,1214.0,2,,14488,0,32.0
2012,1.0,0,1,0,1.0,1,10840.0,2,,14701,1,32.0
2013,1.0,0,0,1,0.0,0,104.0,2,2.0,14715,0,87.0
2015,1.0,0,0,1,0.0,0,435.0,2,6.0,14715,0,165.0
2012,0.868852459,0,0,0,1.0,1,1700.0,2,,14762,0,52.0
2013,1.0,0,1,0,1.0,1,545.0,1,,15012,0,53.0
2013,1.0,0,0,1,0.0,0,900.0,1,3.0,15014,1,32.0
2014,1.0,0,0,1,0.0,0,550.0,1,3.0,15014,0,54.0
2015,1.0,0,0,1,0.0,0,550.0,1,3.0,15014,0,55.0
2013,1.0,0,0,0,1.0,1,4700.0,1,,15014,1,
2012,1.0,0,0,0,1.0,1,981.0,1,,15014,0,32.0
2016,0.99726776,0,0,1,0.0,0,1670.0,1,6.0,15014,0,46.0
2012,1.0,0,0,1,0.0,0,1368.0,1,3.0,15014,0,35.0
2013,0.495890411,0,0,0,1.0,1,1365.0,1,,15014,0,33.0
2013,1.0,0,0,1,0.0,0,2004.0,1,7.0,15014,0,33.0
2016,0.99726776,0,0,1,0.0,0,1584.0,1,4.0,15014,0,37.0
2014,0.0,0,0,1,0.0,0,620.0,1,2.0,15014,0,24.0
2015,1.0,0,1,0,1.0,1,650.0,1,,15014,0,55.0
2014,1.0,0,1,0,1.0,1,500.0,1,,15187,0,54.0
2012,1.0,0,1,0,1.0,1,2100.0,1,,15900,0,32.0
2016,0.99726776,0,1,0,1.0,1,4000.0,1,,16015,1,56.0
2016,1.0,0,0,1,0.0,0,820.0,1,5.0,16015,0,59.0
2012,1.0,0,0,1,0.0,0,1400.0,1,5.0,16015,1,3.0
2015,1.0,0,0,1,0.0,0,3904.0,1,4.0,16015,1,10.0
2014,1.0,0,0,1,0.0,0,2721.0,1,4.0,16015,1,9.0
2015,1.0,0,0,1,0.0,0,2721.0,1,4.0,16015,0,10.0
2013,1.0,0,0,1,0.0,0,550.0,1,3.0,16015,0,113.0
2015,0.98630137,0,0,1,0.0,0,550.0,1,3.0,16015,0,115.0
2013,1.0,1,0,1,0.0,0,3744.0,1,6.0,16015,0,35.0
2014,1.0,1,0,1,0.0,0,3744.0,1,6.0,16015,0,36.0
2013,1.0,0,0,1,0.0,0,2500.0,1,4.0,16015,0,4.0
2015,1.0,0,0,1,0.0,0,2500.0,1,4.0,16015,0,6.0
2013,0.838356164,0,0,1,0.0,0,2157.0,1,5.0,16015,1,15.0
2014,1.0,0,0,1,0.0,0,2157.0,1,5.0,16015,0,16.0
2012,1.0,1,0,0,1.0,1,2800.0,1,,16015,0,52.0
2013,0.665753425,1,0,0,1.0,1,450.0,1,,16015,0,
2013,1.0,1,1,0,1.0,1,3100.0,1,,16102,1,53.0
2015,1.0,1,0,1,0.0,0,1300.0,1,3.0,16102,0,6.0
2016,1.0,1,0,1,0.0,0,1517.0,1,5.0,16102,0,56.0
2013,1.0,1,0,0,1.0,1,1003.0,1,,16102,0,33.0
2012,1.0,1,1,0,1.0,1,1003.0,1,,16102,0,52.0
2014,1.0,0,0,1,0.0,0,1348.0,1,2.0,16292,0,7.0
2013,0.893150685,1,0,1,0.0,0,4255.0,1,2.0,16374,1,26.0
2013,1.0,1,0,1,0.0,0,2315.0,1,5.0,16374,0,41.0
2014,1.0,1,0,1,0.0,0,2315.0,1,5.0,16374,0,42.0
2014,1.0,0,0,1,0.0,0,1546.0,1,2.0,17028,0,6.0
2014,0.082191781,0,0,1,0.0,0,2316.0,1,2.0,17028,0,11.0
2012,1.0,0,1,0,1.0,1,600.0,1,,17094,0,24.0
2012,1.0,0,0,1,0.0,0,2145.0,1,2.0,17218,0,2.0
2013,1.0,0,0,1,0.0,0,2000.0,1,4.0,17274,0,4.0
2013,0.0,0,1,0,1.0,1,12.0,1,,17274,0,25.0
2013,1.0,0,0,1,0.0,0,4388.0,1,6.0,17291,0,38.0
2016,1.0,0,0,1,0.0,0,550.0,1,1.0,17297,0,41.0
2013,1.0,0,0,1,0.0,0,448.0,1,3.0,17299,0,163.0
2014,1.0,0,0,1,0.0,0,2367.0,1,3.0,17299,0,164.0
2012,0.50273224,0,0,1,0.0,0,720.0,1,3.0,17299,0,45.0
2016,0.25136612,0,0,1,0.0,0,980.0,1,4.0,17299,0,156.0
2012,1.0,0,1,0,1.0,1,2408.0,1,,17300,0,24.0
2012,1.0,0,1,0,1.0,1,350.0,1,,17300,0,24.0
2013,1.0,0,1,0,1.0,1,8950.0,1,,17300,0,25.0
2015,1.0,0,0,1,0.0,0,2360.0,1,3.0,17300,0,4.0
2012,1.0,0,0,1,0.0,0,10200.0,1,4.0,17300,1,41.0
2012,0.612021858,0,0,1,0.0,0,3550.0,1,4.0,17300,0,6.0
2012,0.50273224,0,0,1,0.0,0,1584.0,1,3.0,17300,0,42.0
2013,1.0,0,0,1,0.0,0,1584.0,1,3.0,17300,0,43.0
2016,0.99726776,0,0,1,0.0,0,3720.0,1,4.0,17300,0,18.0
2012,1.0,0,1,0,1.0,1,536.0,1,,17300,0,
2012,1.0,0,0,0,1.0,1,270.0,1,,17300,0,52.0
2013,0.0,0,0,0,1.0,1,400.0,1,,17300,0,25.0
2013,1.0,0,1,0,1.0,1,1200.0,1,,17300,1,25.0
2015,1.0,0,0,0,1.0,1,510.0,1,,17300,0,55.0
2012,1.0,0,1,0,1.0,1,3900.0,1,,17300,1,24.0
2012,1.0,0,1,0,1.0,1,460.0,1,,17300,0,52.0
2012,1.0,0,1,0,1.0,1,390.0,1,,17306,1,32.0
2012,1.0,0,1,0,1.0,1,3300.0,1,,17306,0,24.0
2015,1.0,0,0,1,0.0,0,520.0,1,4.0,17306,1,95.0
2016,0.99726776,0,0,1,0.0,0,520.0,1,4.0,17306,0,96.0
2013,1.0,0,0,1,0.0,0,1215.0,1,3.0,17306,0,63.0
2012,1.0,0,0,1,0.0,0,1941.0,1,4.0,17306,1,25.0
2015,1.0,0,0,1,0.0,0,1850.0,1,2.0,17380,0,35.0
2016,1.0,0,1,0,1.0,1,366.0,1,,17411,0,28.0
2013,0.747945205,0,1,0,1.0,1,5500.0,1,,17461,1,25.0
2012,1.0,1,1,0,1.0,1,287.0,1,,18033,0,52.0
2012,1.0,0,0,1,0.0,0,2750.0,1,5.0,19031,0,32.0
2015,1.0,0,0,1,0.0,0,300.0,1,3.0,19031,0,55.0
2012,1.0,0,1,0,1.0,1,1420.0,1,,19031,0,32.0
2014,1.0,0,0,1,0.0,0,975.0,1,4.0,19031,0,15.0
2015,1.0,0,0,1,0.0,0,1365.0,1,4.0,19031,0,35.0
2016,1.0,0,0,1,0.0,0,1365.0,1,4.0,19031,0,36.0
2016,0.99726776,0,0,1,0.0,0,999.0,1,4.0,19031,0,10.0
2013,1.0,0,0,1,0.0,0,276.0,1,3.0,19031,0,53.0
2015,0.832876712,0,0,1,0.0,0,480.0,1,4.0,19031,0,55.0
2016,0.418032787,0,0,1,0.0,0,2410.0,1,6.0,19031,0,28.0
2016,0.25136612,1,0,1,0.0,0,750.0,1,3.0,19031,0,78.0
2016,0.237704918,1,0,1,0.0,0,1000.0,1,4.0,19031,0,40.0
2013,1.0,0,0,0,1.0,1,808.0,1,,19031,0,25.0
2014,1.0,0,1,0,1.0,1,2410.0,1,,19031,0,26.0
2012,1.0,0,0,0,1.0,1,800.0,1,,19031,0,24.0
2014,1.0,0,0,0,1.0,1,800.0,1,,19031,0,26.0
2016,0.99726776,0,1,0,1.0,1,1200.0,1,,19031,0,28.0
2013,1.0,0,1,0,1.0,1,880.0,1,,19031,0,33.0
2014,1.0,0,1,0,1.0,1,880.0,1,,19031,0,34.0
2014,1.0,0,0,0,1.0,1,4365.0,1,,19031,0,34.0
